#{"t_start": 1774671200.5021238, "env_id": "None"}
r,l,t
548.987108,1000,2.03241
532.038687,1000,2.398334
962.604569,920,3.54121
901.176249,1000,3.909148
1177.055994,1000,5.089452
1224.954381,1000,5.456846
1362.056285,1000,6.612389
996.439962,560,6.816847
925.150033,1000,7.975823
1048.031122,623,8.218218
1374.938565,1000,8.585908
1041.203764,617,9.653014
503.988116,265,9.755269
701.185107,464,9.931246
1211.96804,1000,11.235573
343.52137,231,11.338934
1509.791388,1000,11.717171
1006.822326,695,12.830888
1373.418531,803,13.158222
1403.27974,1000,13.531569
717.301134,422,14.584511
897.371427,648,14.91595
1702.517393,1000,15.303187
815.649352,435,16.366487
1134.076149,608,16.626798
1500.249949,1000,17.011142
898.879452,1000,18.44223
387.21092,240,18.530444
1139.045753,775,18.815158
813.345524,432,19.805248
506.252669,258,19.919574
261.775252,292,20.025791
481.658554,247,20.116493
825.320677,515,20.304873
1496.478979,849,21.605161
896.732336,663,21.895291
1569.334248,1000,22.335727
1248.947113,1000,23.793363
1171.655804,1000,24.213884
431.574509,239,25.191336
1413.985282,847,25.566642
1026.283361,826,25.879682
912.630006,1000,27.158444
899.399913,526,27.355501
1386.534536,734,27.638069
468.315645,264,28.672926
636.600588,369,28.914173
1233.389332,1000,29.306305
448.973027,241,29.396992
408.203922,779,30.589082
858.932852,507,30.79128
476.100098,259,30.932204
1194.358354,1000,32.260317
1239.935709,1000,32.653196
470.539204,243,32.744491
423.94155,243,32.834636
1160.447561,1000,34.105128
605.794315,377,34.262482
1587.633713,1000,35.612818
494.961123,258,35.733019
1398.775274,1000,36.130815
1748.734518,1000,37.438378
1373.914912,864,37.784452
1102.71859,696,38.061983
1084.485594,740,39.318829
1384.277856,966,39.695107
432.590952,250,39.791349
744.843404,407,40.897616
1214.319449,1000,41.35701
717.814963,460,41.551438
1472.48541,1000,42.861832
1665.59898,1000,43.260937
754.73329,391,43.413433
674.072146,372,44.497011
518.885654,294,44.625774
538.607415,293,44.737184
447.180358,256,44.833427
545.613953,291,44.944715
701.956912,403,45.099657
510.667783,279,45.206946
875.10021,572,46.356388
1338.160141,1000,46.736429
518.193584,279,46.84062
609.957466,318,47.809816
861.265974,422,47.994686
538.516111,272,48.099569
847.15776,424,48.258165
1109.225323,608,48.483537
1207.150773,975,49.764217
803.315992,457,50.025801
415.733476,242,50.151882
1471.899827,798,51.474756
953.285555,700,51.754562
1478.39529,907,52.120954
1014.350442,1000,53.358428
856.176383,460,53.52964
880.916942,1000,54.796277
1059.406094,624,55.06105
326.900573,229,55.146791
1441.901399,1000,55.519486
718.878376,406,56.534214
1316.404559,917,56.882211
1036.351803,754,58.012859
736.280916,481,58.227114
1265.019343,802,58.525508
816.033652,1000,59.778115
1102.495176,1000,60.213056
660.189758,370,60.350351
401.089009,248,60.442689
309.695341,223,61.441999
481.778383,257,61.564403
1109.72252,1000,62.09707
1053.81958,719,62.471076
730.025338,410,63.605313
991.298092,1000,64.100873
1625.509761,1000,65.457712
472.686076,279,65.570703
1175.58349,641,65.812694
1383.614744,987,67.04112
1020.00943,600,67.283792
620.696423,325,67.403601
917.549488,668,67.654184
698.970043,336,68.620723
548.639765,353,68.780437
399.743812,245,68.872199
492.948699,292,69.002122
572.444389,291,69.117717
986.139362,505,69.311346
691.555027,334,70.276726
616.087859,345,70.434099
558.081538,308,70.554072
803.669934,451,70.726758
568.009385,298,70.8833
1479.557758,712,72.115129
735.765801,406,72.298636
482.287676,262,72.397449
1801.82693,1000,72.769654
830.303468,389,73.838483
459.831195,249,73.950827
1027.818493,523,74.151801
513.408368,270,74.253034
511.403197,265,74.351832
803.546823,1000,75.583367
483.586686,258,75.6837
726.239875,385,75.829495
619.439626,304,75.941958
914.029549,451,76.114642
394.675073,235,76.201027
1390.948817,737,77.354564
956.736747,474,77.534004
702.815011,442,77.722003
690.983995,401,77.884816
849.584114,401,78.921916
687.627434,470,79.108132
701.892559,418,79.264733
459.263286,353,79.398196
1783.352824,1000,80.804909
738.147073,400,81.007201
1294.787856,789,81.372166
1521.347603,678,82.546878
609.399735,337,82.715832
1338.498728,796,83.106083
1114.66267,883,84.465317
532.346465,271,84.574413
1274.768062,642,84.822004
