#{"t_start": 1775152015.124812, "env_id": "None"}
r,l,t
103.417158,133,1.117114
105.562172,133,1.180797
106.540631,133,1.249126
105.900525,133,1.314297
100.303808,133,1.379087
106.901119,134,1.445174
103.305984,133,1.509185
104.298592,133,1.573987
105.203529,134,1.638121
106.144706,133,1.703317
107.635046,133,1.767446
106.086077,133,1.832566
104.560474,133,1.89743
106.261868,133,1.961986
101.614925,134,2.027572
102.789105,133,2.882383
102.963661,134,2.958175
105.258129,134,3.031733
106.218302,133,3.098098
102.615684,134,3.16259
105.091608,133,3.227713
103.283073,133,3.294897
106.778435,133,3.362312
104.244807,133,3.429292
101.260123,137,3.496106
103.856692,134,3.561195
105.562885,133,3.627827
103.271741,133,3.693871
102.499285,136,3.760511
105.759579,133,3.824777
103.733161,133,4.738874
107.335667,133,4.816971
104.111753,133,4.892789
103.999477,133,4.961866
106.0503,133,5.027903
105.547618,133,5.093828
105.962816,133,5.158848
104.320283,136,5.225962
104.176956,133,5.290825
102.980847,134,5.356971
105.75365,134,5.424022
107.320093,133,5.488824
102.797656,133,5.554439
106.883235,133,5.620043
104.803663,133,5.684811
105.333163,133,5.749996
104.601254,133,6.628507
104.123618,134,6.700269
104.610663,133,6.772165
101.635497,134,6.838296
105.746474,133,6.903824
102.919408,133,6.968696
105.959061,134,7.03253
103.48013,134,7.098277
105.568232,133,7.165507
104.287398,134,7.233985
99.73572,134,7.300837
105.823396,134,7.369119
105.973709,133,7.436675
105.202458,133,7.503776
103.995716,133,7.572499
104.339502,133,8.467639
102.048134,134,8.542317
104.684611,133,8.623937
106.637001,133,8.690595
105.731162,133,8.75587
99.781541,134,8.821922
103.801687,133,8.886315
103.620935,134,8.953101
105.574177,133,9.018345
106.401233,133,9.083202
105.592379,133,9.148134
105.950511,133,9.213875
104.319326,134,9.280197
102.163652,134,9.346001
105.434809,133,9.411577
104.602403,133,10.291678
103.30802,133,10.368723
102.392945,134,10.455086
102.771233,134,10.525879
102.559883,133,10.592986
105.006576,133,10.657593
103.392302,133,10.723785
107.889534,133,10.787968
104.748979,133,10.854526
105.401167,133,10.930996
103.9953,133,11.00784
106.04051,134,11.08215
102.262361,133,11.162103
99.51474,135,11.247197
106.643525,133,11.312402
105.984773,133,11.378486
105.458409,133,12.780259
103.400001,133,12.87792
103.136289,134,12.965714
104.773408,134,13.041969
105.297798,134,13.115408
106.930373,133,13.201741
103.731108,134,13.293964
106.73649,134,13.374989
101.502559,135,13.460793
105.782482,135,13.550159
102.463205,135,13.628096
102.239544,133,13.704095
104.771606,134,13.778778
104.373859,134,13.852251
107.58498,133,13.924313
101.550254,134,15.475972
107.938959,133,15.562896
101.337634,134,15.643083
98.400903,134,15.712313
104.225481,134,15.78091
103.831825,133,15.848515
102.837888,133,15.922484
105.3161,133,15.991024
107.385282,133,16.059985
104.23831,135,16.13005
105.394827,133,16.199301
107.331266,133,16.266043
103.964804,133,16.333042
102.671083,133,16.405498
103.963912,134,16.472058
102.784864,133,17.476513
104.398256,133,17.563828
103.278153,135,17.648181
105.498724,134,17.716764
104.095046,133,17.784098
104.972105,134,17.850976
104.787696,133,17.921698
99.94064,135,17.987836
105.016331,133,18.053721
105.7773,134,18.122675
98.371233,134,18.189789
104.862463,134,18.257859
103.999456,134,18.323756
103.323637,133,18.391326
99.994148,134,18.483972
103.384377,134,18.556159
105.924432,132,19.530905
108.156937,133,19.626147
105.870175,133,19.710164
104.893312,134,19.796216
104.379984,133,19.892576
103.568869,133,19.992855
105.429837,134,20.103697
106.330715,133,20.171681
104.563458,133,20.237781
102.515188,133,20.303939
104.956408,134,20.371203
104.002742,136,20.440765
103.197252,134,20.50763
104.829873,133,20.575095
103.212525,133,20.832124
105.097815,134,21.952674
102.017499,133,22.038375
101.576719,133,22.12583
101.271288,133,22.200848
102.861996,133,22.274547
101.301008,134,22.344388
105.560368,134,22.414954
103.960408,134,22.482522
106.407633,133,22.56569
104.201623,133,22.643602
105.631101,134,22.719385
107.339256,134,22.787149
103.544401,133,22.857246
103.821973,133,22.925125
104.329127,133,22.993791
103.70452,133,23.984962
101.542919,133,24.070463
106.341537,133,24.154633
107.526156,133,24.224166
104.464099,133,24.290267
107.202413,133,24.355849
107.173263,133,24.426078
101.813652,134,24.493568
104.518594,133,24.56013
105.449841,132,24.627217
104.895291,133,24.702128
106.021697,133,24.782038
102.232855,135,24.848919
106.539809,133,24.915555
100.749541,134,24.983893
100.740756,134,25.050144
105.993782,133,26.159299
101.54024,135,26.246915
103.948771,133,26.323821
104.175883,136,26.39205
105.042963,133,26.460891
106.10122,133,26.529027
100.44192,135,26.597747
104.017408,133,26.666827
105.371481,133,26.736534
106.214537,133,26.804181
105.215865,133,26.87171
106.547097,133,26.939602
103.765492,133,27.005899
105.061478,133,27.075522
104.405549,133,27.160068
105.062778,133,28.234622
101.263607,134,28.321101
105.432161,133,28.404342
104.452383,134,28.473533
103.202316,133,28.558868
106.204215,133,28.6378
106.492223,133,28.709516
103.379551,133,28.778619
103.328099,133,28.846023
106.341827,133,28.913929
106.22502,133,28.982795
103.717567,133,29.05076
104.894631,133,29.118434
103.155248,135,29.189966
104.266829,133,29.258543
106.82852,133,30.589897
104.235715,133,30.682027
104.738529,133,30.769663
104.982496,133,30.839945
104.496456,133,30.90687
106.317703,133,30.97472
103.12794,133,31.041035
104.563473,133,31.105865
106.049233,133,31.172206
105.684221,133,31.243809
106.657779,133,31.310109
102.734921,133,31.376821
107.176635,133,31.44383
102.606718,134,31.513853
104.365663,135,31.58286
105.764394,134,31.652913
104.049745,133,32.628723
105.195726,133,32.716646
103.492183,133,32.79175
106.372426,133,32.858538
103.522229,134,32.925361
104.014531,133,32.99053
103.414691,133,33.057016
102.391234,134,33.125028
105.523587,133,33.191292
104.261951,133,33.258383
103.109125,133,33.324824
105.260633,133,33.392699
105.7135,133,33.458995
106.210245,133,33.524813
107.578196,133,33.591643
103.79514,133,34.564731
104.789647,134,34.650975
105.607177,133,34.732056
103.251222,134,34.799144
104.246675,133,34.866348
102.642752,133,34.931938
104.486012,134,35.000007
105.227915,133,35.066924
101.824289,134,35.135053
102.904717,133,35.202185
104.553288,134,35.269319
105.301367,133,35.335781
100.391238,134,35.406304
103.504528,133,35.47203
104.500308,134,35.541993
107.510745,133,36.505866
102.303228,135,36.592038
107.801718,133,36.677441
99.914379,134,36.749892
102.293412,134,36.816479
104.260399,133,36.899121
106.700563,133,36.973397
105.359786,133,37.039978
104.234103,134,37.106354
104.725041,133,37.196679
104.776691,132,37.29022
104.232615,133,37.390199
105.371048,134,37.480224
101.826902,133,37.573386
103.945626,133,37.669058
104.286607,133,37.734976
103.676208,133,38.741218
104.086842,133,38.827181
103.001849,133,38.905791
103.123213,133,38.971531
103.470522,134,39.062621
104.592801,134,39.136424
106.227828,133,39.203552
103.205044,134,39.26988
103.242905,136,39.336402
103.512342,133,39.401956
103.020424,133,39.468891
104.014962,133,39.537637
104.384039,132,39.604703
102.010984,133,39.671272
103.714109,133,39.737837
103.774324,136,40.695529
106.256528,133,40.779455
104.728321,134,40.865676
102.875015,133,40.933743
106.249937,133,40.999284
101.415811,133,41.067437
102.395574,133,41.133411
106.142861,133,41.200443
103.187324,133,41.267362
105.619068,133,41.333684
105.2677,134,41.399955
104.012866,133,41.465515
105.757756,133,41.53367
102.595621,133,41.600848
103.832382,133,41.667515
104.272907,134,41.733781
103.37677,134,42.699381
102.751282,134,42.782377
103.646823,134,42.855558
102.522747,134,42.922619
103.171728,134,42.988655
101.939469,133,43.055218
103.686082,134,43.122129
101.72091,133,43.189428
105.577529,133,43.25605
103.080162,134,43.327642
102.824326,134,43.393499
101.756815,134,43.460556
103.987833,134,43.52752
103.72249,133,43.594383
101.743302,134,43.66142
103.723431,133,44.657986
105.915529,133,44.741769
105.542911,133,44.824906
106.895017,133,44.893315
104.404699,133,44.959783
103.974202,133,45.026336
105.01172,133,45.10643
104.445263,134,45.389634
104.831862,133,45.465757
104.641234,133,45.535749
106.26895,133,45.613445
101.737491,134,45.685538
101.863287,134,45.76162
104.249275,133,45.832374
104.394114,134,45.899791
101.712682,134,46.876763
105.349627,132,46.961297
103.55961,133,47.045394
102.202955,134,47.115205
102.475681,134,47.21629
108.307474,133,47.309375
102.544677,134,47.401845
105.465483,134,47.492463
103.60619,134,47.586193
106.648908,133,47.68029
103.740445,133,47.751194
104.259139,133,47.817766
103.990377,133,47.885507
103.736751,133,47.951763
104.411632,134,48.017666
103.846707,133,48.084733
106.393388,133,49.061976
101.388096,134,49.147317
101.23631,134,49.223459
103.558561,133,49.288743
104.553529,133,49.355968
105.323285,133,49.425279
104.229865,133,49.492597
103.26782,134,49.55969
103.551523,133,49.626359
102.939276,133,49.69348
106.170168,133,49.76028
105.256666,133,49.825732
106.351875,133,49.892586
104.114135,133,49.960721
105.428931,134,50.027803
105.754945,133,50.993247
102.864667,133,51.07653
105.802292,133,51.156525
104.640712,133,51.223342
106.351384,133,51.289469
104.528322,133,51.357596
104.969129,133,51.424157
100.322397,136,51.493938
98.755274,135,51.568107
102.742568,134,51.646552
102.77872,134,51.717179
102.056727,134,51.783233
104.129602,133,51.849495
103.180438,133,51.914773
103.559085,133,51.981892
103.252629,133,52.943628
106.075272,133,53.027433
104.981011,133,53.113626
102.430645,133,53.183203
106.909162,133,53.251827
100.65148,133,53.318691
102.336948,134,53.386629
104.247686,133,53.453786
104.232167,133,53.522524
104.882934,133,53.589266
99.699403,134,53.657201
106.634612,133,53.726265
101.512595,134,53.793148
107.440912,133,53.859984
104.478945,133,53.927472
100.154772,134,54.006496
103.671052,134,54.991527
105.318038,133,55.074667
103.723143,134,55.150977
101.49471,134,55.219853
101.446662,134,55.286498
104.823832,135,55.359191
102.981412,133,55.425744
105.545735,133,55.491003
104.076145,134,55.557559
104.652766,133,55.62739
104.172904,132,55.692002
103.862855,133,55.760221
104.110705,134,55.825833
109.522034,133,55.893604
104.93462,132,55.960461
102.534558,133,56.913462
105.203954,133,56.998628
104.867178,133,57.081394
105.642928,133,57.166708
105.159974,133,57.251933
105.575525,133,57.353937
105.811872,132,57.447268
106.252848,133,57.540328
105.300912,133,57.640723
104.161416,133,57.707301
105.839859,133,57.773202
104.208193,133,57.841259
104.259654,135,57.909427
105.78235,132,57.976834
102.891756,133,58.043388
104.50194,134,59.004208
104.316473,133,59.089394
104.296181,133,59.175107
105.125625,133,59.246174
103.22836,133,59.313258
102.715174,134,59.381159
106.982287,133,59.447941
104.139227,133,59.51388
104.864727,133,59.580154
107.834328,133,59.647933
103.626919,134,59.714953
103.820179,134,59.781147
107.127849,133,59.852348
103.18972,134,59.919505
106.978947,132,59.984649
105.286372,133,60.052274
104.278696,133,61.255857
101.968602,134,61.339521
105.477267,133,61.418276
106.789063,133,61.484839
105.480226,134,61.551464
107.221989,133,61.617166
106.017776,133,61.688214
105.10075,133,61.755298
106.177549,133,61.820825
106.502486,133,61.904958
103.148753,134,61.979301
106.085944,132,62.045363
104.658214,133,62.111332
106.963558,133,62.177085
106.040195,133,62.243394
106.090188,135,63.210626
103.069067,133,63.293058
105.199126,133,63.376044
103.85685,133,63.4431
105.693944,133,63.509523
102.936845,135,63.57704
101.59812,133,63.643329
102.25271,133,63.710999
104.126253,133,63.777509
108.760816,133,63.844533
102.608414,133,63.913088
103.627899,133,63.978027
103.68198,133,64.047886
105.668377,134,64.136802
104.307161,132,64.210605
107.49564,133,64.283211
103.377807,134,65.301083
107.293816,133,65.388203
101.683889,134,65.461784
103.857046,133,65.528231
105.423805,134,65.595557
104.087285,133,65.662154
104.014787,134,65.732244
105.84995,133,65.798002
105.31052,133,65.864682
104.412931,133,65.931246
104.842599,133,65.998075
106.242405,133,66.064185
105.915028,134,66.13501
104.980281,133,66.201525
103.608187,134,66.270062
105.910029,133,67.250838
103.797351,133,67.337241
106.897582,133,67.431546
102.718635,133,67.523144
105.750071,133,67.612815
107.65627,133,67.678168
107.258273,132,67.74523
101.031643,134,67.811467
101.55209,134,67.877562
101.14896,135,67.945182
104.686961,134,68.011506
103.148994,133,68.078254
104.219886,134,68.14821
104.62033,133,68.213842
106.751563,133,68.281682
102.820627,134,69.238213
105.174368,133,69.323381
98.352258,135,69.408071
106.637416,133,69.478178
104.838585,133,69.545846
102.858053,133,69.612058
101.670556,133,69.679351
106.10256,133,69.745417
104.658181,134,69.811527
104.310726,133,69.878087
103.165269,133,69.946745
105.893444,133,70.014041
102.887133,133,70.079338
105.220853,133,70.146001
103.20587,133,70.214064
105.187109,134,70.279313
102.84204,133,71.291521
103.559651,133,71.378156
106.102248,133,71.453572
103.856038,133,71.521958
107.374955,134,71.589315
102.401536,133,71.655404
105.187565,133,71.721498
103.067594,134,71.789452
105.385388,132,71.856306
105.681962,133,71.921861
106.296947,133,71.988941
106.51743,133,72.054627
102.420066,134,72.122895
106.354644,133,72.1893
106.393447,133,72.255658
106.087291,133,73.227614
104.767369,133,73.312197
106.806717,134,73.395546
105.611492,133,73.461057
106.224245,133,73.532125
106.336386,134,73.599337
105.334342,133,73.665
103.011121,133,73.731108
103.869328,133,73.799532
107.659952,133,73.86504
103.1765,133,73.930124
106.844978,133,73.995911
108.66096,133,74.063069
106.169248,134,74.131222
105.185626,133,74.198343
101.351761,134,75.371282
106.011965,133,75.460348
105.794863,133,75.545962
107.679173,133,75.618141
104.056337,133,75.684695
106.51201,134,75.751262
105.096324,133,75.818
102.808515,134,75.884561
106.322991,133,75.95067
103.833001,133,76.017895
107.190974,133,76.083651
104.738541,133,76.151209
107.601776,133,76.218991
104.597955,133,76.285634
104.294104,133,76.354202
102.773943,133,76.420294
99.53899,134,77.403114
107.135041,132,77.488967
106.051861,133,77.578032
104.078359,133,77.646876
105.088033,133,77.713506
107.848989,133,77.781361
105.502448,133,77.847579
105.918525,133,77.913656
105.613054,133,77.979755
106.044678,133,78.044935
107.107054,133,78.11136
105.120629,133,78.178398
103.322505,133,78.244458
105.059979,133,78.311499
106.068636,133,78.377604
105.749036,133,79.398371
105.202746,133,79.480467
106.863592,133,79.56727
107.118787,132,79.633451
105.58084,133,79.701505
104.504502,133,79.767066
103.631517,133,79.835035
103.066712,133,79.900805
105.38633,134,79.968052
101.693891,134,80.033989
103.266285,133,80.099038
101.614966,134,80.168608
106.56852,133,80.235159
105.700401,133,80.301882
102.422961,134,80.368948
103.094333,133,80.436832
107.330084,133,81.401344
104.774571,132,81.48194
105.804723,132,81.554077
102.041643,133,81.62213
104.445953,133,81.689434
107.777298,133,81.755882
102.867969,133,81.824382
105.606687,133,81.889671
106.396316,133,81.955861
103.735483,133,82.02081
106.172285,133,82.086348
102.971951,133,82.153091
105.676446,132,82.222825
105.243962,133,82.288513
107.457584,133,82.355319
105.130725,133,83.328044
104.31248,133,83.411792
105.621749,133,83.492914
103.889848,133,83.559009
105.537452,133,83.62532
106.584866,132,83.690326
106.151967,132,83.757871
104.931836,133,83.825278
106.008619,132,83.890206
105.259198,133,83.956805
102.509813,134,84.023265
106.718583,133,84.090947
105.124135,133,84.157928
104.439855,133,84.223264
103.255102,133,84.290983
107.090504,133,85.276868
106.784065,133,85.361627
107.486855,133,85.45177
104.547634,132,85.535447
103.597165,133,85.608701
104.405788,133,85.67695
105.954394,135,85.745819
106.897745,133,85.815717
105.17943,133,85.88366
108.147342,133,85.952738
107.061929,133,86.020705
106.760138,133,86.104321
106.325904,133,86.176398
106.65422,133,86.246876
105.131837,133,86.314715
107.150388,133,86.38092
104.546908,132,87.363527
104.044443,133,87.458093
107.118298,133,87.554078
106.488165,132,87.629269
101.862842,133,87.699533
106.959062,132,87.765824
105.468856,133,87.834201
107.026724,133,87.901248
105.0129,133,87.966997
102.767763,133,88.034201
105.255485,134,88.100066
105.521303,133,88.172813
106.941664,133,88.24055
102.20023,133,88.309478
